wavelength,scan1-2,scan2-2,absorbance2,scan1-4,scan2-4,absorbance4
3465.53353,0.0096,0.01355,0.011575,0.01036,0.012,0.01118
3463.47317,0.00959,0.01367,0.01163,0.01049,0.0122,0.011345
3461.4128,0.00977,0.01388,0.011825,0.01061,0.01228,0.011445
3459.35244,0.00997,0.01404,0.012005,0.01076,0.01231,0.011535
3457.29207,0.01001,0.01408,0.012045,0.01078,0.01234,0.01156
3455.23171,0.00999,0.01413,0.01206,0.01071,0.01227,0.01149
3453.17134,0.01005,0.01439,0.01222,0.01079,0.01217,0.01148
3451.11098,0.01022,0.01476,0.01249,0.01103,0.01225,0.01164
3449.05061,0.0104,0.01501,0.012705,0.01125,0.01248,0.011865
3446.99025,0.01043,0.01505,0.01274,0.01134,0.01268,0.01201
3444.92988,0.01038,0.015,0.01269,0.01128,0.01283,0.012055
3442.86952,0.01041,0.01493,0.01267,0.01116,0.01291,0.012035
3440.80916,0.01058,0.01494,0.01276,0.01115,0.01292,0.012035
3438.74879,0.01075,0.01508,0.012915,0.01121,0.01301,0.01211
3436.68843,0.01093,0.01535,0.01314,0.01129,0.01315,0.01222
3434.62806,0.01114,0.01575,0.013445,0.01143,0.01327,0.01235
3432.5677,0.01124,0.016,0.01362,0.01155,0.01337,0.01246
3430.50733,0.01121,0.01597,0.01359,0.01155,0.01332,0.012435
3428.44697,0.01123,0.01592,0.013575,0.01155,0.0132,0.012375
3426.3866,0.01132,0.01607,0.013695,0.0117,0.01325,0.012475
3424.32624,0.01137,0.01628,0.013825,0.01188,0.01341,0.012645
3422.26587,0.01137,0.01643,0.0139,0.01201,0.01357,0.01279
3420.20551,0.01149,0.01653,0.01401,0.01211,0.01362,0.012865
3418.14514,0.01165,0.01661,0.01413,0.01204,0.01345,0.012745
3416.08478,0.01184,0.01668,0.01426,0.0119,0.01333,0.012615
3414.02441,0.01221,0.01685,0.01453,0.01194,0.01358,0.01276
3411.96405,0.0124,0.01713,0.014765,0.01209,0.014,0.013045
3409.90368,0.01233,0.01744,0.014885,0.01226,0.01431,0.013285
3407.84332,0.01244,0.01777,0.015105,0.01245,0.01438,0.013415
3405.78295,0.01277,0.01802,0.015395,0.01263,0.01429,0.01346
3403.72259,0.01302,0.01816,0.01559,0.01273,0.01426,0.013495
3401.66222,0.01322,0.01831,0.015765,0.0128,0.01433,0.013565
3399.60186,0.01355,0.01858,0.016065,0.01293,0.01449,0.01371
3397.54149,0.01386,0.01887,0.016365,0.01305,0.01476,0.013905
3395.48113,0.01407,0.01912,0.016595,0.01318,0.01505,0.014115
3393.42077,0.01442,0.01941,0.016915,0.01338,0.01527,0.014325
3391.3604,0.01483,0.01972,0.017275,0.01358,0.01545,0.014515
3389.30004,0.0151,0.02002,0.01756,0.01372,0.01551,0.014615
3387.23967,0.01533,0.02031,0.01782,0.0138,0.01542,0.01461
3385.17931,0.01576,0.0206,0.01818,0.01398,0.01548,0.01473
3383.11894,0.01635,0.02096,0.018655,0.01437,0.0158,0.015085
3381.05858,0.01684,0.02133,0.019085,0.01479,0.0162,0.015495
3378.99821,0.01717,0.02169,0.01943,0.01503,0.01653,0.01578
3376.93785,0.01755,0.02209,0.01982,0.0152,0.01679,0.015995
3374.87748,0.01809,0.02258,0.020335,0.01538,0.01697,0.016175
3372.81712,0.01869,0.02308,0.020885,0.01561,0.01709,0.01635
3370.75675,0.01934,0.02362,0.02148,0.01598,0.01733,0.016655
3368.69639,0.02013,0.02431,0.02222,0.01649,0.01777,0.01713
3366.63602,0.02078,0.02502,0.0229,0.017,0.01827,0.017635
3364.57566,0.02126,0.02567,0.023465,0.01746,0.01876,0.01811
3362.51529,0.02184,0.02634,0.02409,0.0179,0.01925,0.018575
3360.45493,0.02256,0.02706,0.02481,0.01837,0.01975,0.01906
3358.39456,0.02341,0.02791,0.02566,0.01894,0.02021,0.019575
3356.3342,0.0244,0.02886,0.02663,0.01953,0.02062,0.020075
3354.27383,0.02547,0.0298,0.027635,0.02017,0.02119,0.02068
3352.21347,0.0267,0.03084,0.02877,0.02098,0.02205,0.021515
3350.15311,0.02808,0.03204,0.03006,0.02196,0.02298,0.02247
3348.09274,0.02929,0.03312,0.031205,0.02296,0.02378,0.02337
3346.03238,0.03039,0.03429,0.03234,0.024,0.02456,0.02428
3343.97201,0.03178,0.03579,0.033785,0.0252,0.02559,0.025395
3341.91165,0.03354,0.03747,0.035505,0.02651,0.02685,0.02668
3339.85128,0.03554,0.03929,0.037415,0.02777,0.02809,0.02793
3337.79092,0.0376,0.04135,0.039475,0.02917,0.02938,0.029275
3335.73055,0.03971,0.04342,0.041565,0.03092,0.03093,0.030925
3333.67019,0.04201,0.04542,0.043715,0.03281,0.03268,0.032745
3331.60982,0.04464,0.04776,0.0462,0.03475,0.03448,0.034615
3329.54946,0.04764,0.05064,0.04914,0.03696,0.03644,0.0367
3327.48909,0.051,0.05384,0.05242,0.03968,0.03885,0.039265
3325.42873,0.05473,0.05734,0.056035,0.04292,0.04175,0.042335
3323.36836,0.05872,0.06109,0.059905,0.04658,0.04499,0.045785
3321.308,0.06298,0.06499,0.063985,0.05072,0.04868,0.0497
3319.24763,0.06768,0.06927,0.068475,0.05536,0.05288,0.05412
3317.18727,0.07282,0.07413,0.073475,0.06062,0.05756,0.05909
3315.1269,0.07839,0.07942,0.078905,0.06674,0.06284,0.06479
3313.06654,0.08437,0.08502,0.084695,0.07369,0.06873,0.07121
3311.00617,0.09065,0.09087,0.09076,0.08112,0.07513,0.078125
3308.94581,0.09708,0.09686,0.09697,0.0887,0.08185,0.085275
3306.88545,0.10339,0.10286,0.103125,0.09592,0.08842,0.09217
3304.82508,0.10928,0.10876,0.10902,0.10195,0.094,0.097975
3302.76472,0.11445,0.11407,0.11426,0.10592,0.09788,0.1019
3300.70435,0.11858,0.11825,0.118415,0.10758,0.09991,0.103745
3298.64399,0.1215,0.12126,0.12138,0.10728,0.10016,0.10372
3296.58362,0.12307,0.12312,0.123095,0.10514,0.09855,0.101845
3294.52326,0.12328,0.12373,0.123505,0.10128,0.09539,0.098335
3292.46289,0.12238,0.12331,0.122845,0.0963,0.09144,0.09387
3290.40253,0.12039,0.12206,0.121225,0.09083,0.08708,0.088955
3288.34216,0.11744,0.11982,0.11863,0.08533,0.08246,0.083895
3286.2818,0.114,0.11688,0.11544,0.08023,0.078,0.079115
3284.22143,0.11026,0.11369,0.111975,0.07584,0.07398,0.07491
3282.16107,0.10627,0.11032,0.108295,0.07195,0.07038,0.071165
3280.1007,0.10223,0.10668,0.104455,0.0683,0.06718,0.06774
3278.04034,0.09811,0.10287,0.10049,0.06508,0.06435,0.064715
3275.97997,0.09397,0.09911,0.09654,0.06244,0.06187,0.062155
3273.91961,0.08991,0.09544,0.092675,0.06016,0.05979,0.059975
3271.85924,0.08584,0.09169,0.088765,0.05799,0.05799,0.05799
3269.79888,0.08164,0.08762,0.08463,0.05579,0.05613,0.05596
3267.73851,0.07735,0.08339,0.08037,0.05361,0.0541,0.053855
3265.67815,0.07321,0.07954,0.076375,0.05148,0.05215,0.051815
3263.61779,0.06938,0.07608,0.07273,0.04943,0.05036,0.049895
3261.55742,0.06586,0.07268,0.06927,0.04754,0.04864,0.04809
3259.49706,0.0627,0.06944,0.06607,0.04593,0.04702,0.046475
3257.43669,0.05993,0.06641,0.06317,0.0445,0.04554,0.04502
3255.37633,0.05732,0.06357,0.060445,0.04304,0.04411,0.043575
3253.31596,0.05461,0.06103,0.05782,0.04149,0.04265,0.04207
